Event Name,Date,Link,US Participant,Country Participant,Country,Event Type,Principal,ID
Secretary Blinken’s Call with Polish Foreign Minister Rau,9/6/2023,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-12/,Antony Blinken,Zbigniew Rau,Poland,Call,S,1
"Under Secretary Jenkins Travels to Romania, the United Kingdom, and Poland",8/15/2023,https://www.state.gov/under-secretary-jenkins-travels-to-romania-the-united-kingdom-and-poland/,Bonnie Jenkins,Other: Counterparts,Poland,Visit,T,2
"Under Secretary Jenkins Travels to Romania, the United Kingdom, and Poland",8/15/2023,https://www.state.gov/under-secretary-jenkins-travels-to-romania-the-united-kingdom-and-poland/,Bonnie Jenkins,Other: Counterparts,Romania,Visit,T,3
Secretary Blinken’s Call with Bulgarian Foreign Minister Gabriel,8/8/2023,https://www.state.gov/secretary-blinkens-call-with-bulgarian-foreign-minister-gabriel/,Antony Blinken,Mariya Gabriel,Bulgaria,Call,S,4
Secretary Blinken’s Call with Romanian Foreign Minister Odobescu,7/24/2023,https://www.state.gov/secretary-blinkens-call-with-romanian-foreign-minister-odobescu/,Antony Blinken,Luminita Odobescu,Romania,Call,S,5
Deputy Secretary Sherman’s Call with Swiss State Secretary Leu,7/6/2023,https://www.state.gov/deputy-secretary-shermans-call-with-swiss-state-secretary-leu-5/,Wendy Sherman,Livia Leu,Switzerland,Call,D,6
Secretary Blinken’s call with Polish Foreign Minister Rau,6/24/2023,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-11/,Antony Blinken,Zbigniew Rau,Poland,Call,S,7
Deputy Secretary Sherman’s Call with Czech Deputy Foreign Minister Marian,6/16/2023,https://www.state.gov/deputy-secretary-shermans-call-with-czech-deputy-foreign-minister-marian/,Wendy Sherman,Jan Marian,Czech-Republic,Call,D,8
Deputy Secretary Sherman’s Call with Swiss State Secretary Leu,6/6/2023,https://www.state.gov/deputy-secretary-shermans-call-with-swiss-state-secretary-leu-4/,Wendy Sherman,Livia Leu,Switzerland,Call,D,9
"Deputy Secretary for Management and Resources Verma’s Travel to Poland, Moldova, and Romania",5/14/2023,https://www.state.gov/deputy-secretary-for-management-and-resources-vermas-travel-to-poland-moldova-and-romania/,"Richard Verma, Jose Fernandez, Todd D. Robinson, Jessica Lewis",Other,Poland,Visit,D-MR,10
"Deputy Secretary for Management and Resources Verma’s Travel to Poland, Moldova, and Romania",5/14/2023,https://www.state.gov/deputy-secretary-for-management-and-resources-vermas-travel-to-poland-moldova-and-romania/,"Richard Verma, Jose Fernandez, Todd D. Robinson, Jessica Lewis",Other,Romania,Visit,D-MR,11
Secretary Blinken’s Meeting with Czech Foreign Minister Lipavský,5/2/2023,https://www.state.gov/secretary-blinkens-meeting-with-czech-foreign-minister-lipavsky/,Antony Blinken,Jan Lipavský,Czech-Republic,Meeting,S,12
"Under Secretary Zeya’s Travel to Slovakia and France April 11-14, 2023",4/10/2023,https://www.state.gov/under-secretary-zeyas-travel-to-slovakia-and-france-april-11-14-2023/,Uzra Zeya,Other: Senior Government Officials,Slovakia,Visit,J,13
Deputy Secretary Sherman’s Call with Swiss State Secretary Leu,3/21/2023,https://www.state.gov/deputy-secretary-shermans-call-with-swiss-state-secretary-leu-3/,Wendy Sherman,Livia Leu,Switzerland,Call,D,14
Secretary Blinken’s Call with Romanian Foreign Minister Aurescu,3/7/2023,https://www.state.gov/secretary-blinkens-call-with-romanian-foreign-minister-aurescu-3/,Antony Blinken,Bogdan Aurescu,Romania,Call,S,15
Secretary Blinken’s Meeting with Austrian Foreign Minister Schallenberg,2/7/2023,https://www.state.gov/secretary-blinkens-meeting-with-austrian-foreign-minister-schallenberg/,Antony Blinken,Alexander Schallenberg,Austria,Meeting,S,16
Deputy Secretary Sherman’s Meeting with Poland’s National Security Advisors,2/3/2023,https://www.state.gov/deputy-secretary-shermans-meeting-with-polands-national-security-advisors/,Wendy Sherman,"Marcin Przydacz, Jacek Siewiera",Poland,Meeting,D,17
"Assistant Secretary Donfried’s Travel to Italy, Vatican City, and Poland",1/30/2023,https://www.state.gov/assistant-secretary-donfrieds-travel-to-italy-vatican-city-and-poland/,Karen Donfried,Other: Senior Government Officials,Poland,Visit,A/S EUR,18
Secretary Blinken’s Meeting with Swiss Foreign Minister Cassis,1/14/2023,https://www.state.gov/secretary-blinkens-meeting-with-swiss-foreign-minister-cassis/,Antony Blinken,Ignazio Cassis,Switzerland,Meeting,S,19
The 17th Meeting of the U.S.-Swiss Joint Economic Commission  And Under Secretary Fernandez’s Engagement with the Swiss Delegation,12/17/2022,https://www.state.gov/the-17th-meeting-of-the-u-s-swiss-joint-economic-commission-and-under-secretary-fernandezs-engagement-with-the-swiss-delegation/,"Jose Fernandez, Karen Donfried, Whitney Baird",Budliger Artieda ,Switzerland,Meeting,E,20
Secretary Blinken’s Call with Bulgarian President Radev,12/16/2022,https://www.state.gov/secretary-blinkens-call-with-bulgarian-president-radev-2/,Antony Blinken,Rumen Radev,Bulgaria,Call,S,21
Deputy Secretary Sherman’s Meeting with Czech Foreign Minister Lipavsky,12/10/2022,https://www.state.gov/deputy-secretary-shermans-meeting-with-czech-foreign-minister-lipavsky/,Wendy Sherman,"Jan Lipavský, Tomas Pojar",Czech-Republic,Visit,D,22
Secretary Blinken’s Meeting with Polish Foreign Minister Rau,12/9/2022,https://www.state.gov/secretary-blinkens-meeting-with-polish-foreign-minister-rau-2/,Antony Blinken,Zbigniew Rau,Poland,Meeting,S,23
"Deputy Secretary Sherman’s Travel to London, Rome, Vatican City, Paris, Berlin, and Prague",11/30/2022,https://www.state.gov/deputy-secretary-shermans-travel-to-london-rome-vatican-city-paris-berlin-and-prague/,Wendy Sherman,Jan Lipavský,Czech-Republic,Visit,D,24
Undersecretary Nuland’s Travel to Poland,11/29/2022,https://www.state.gov/undersecretary-nulands-travel-to-poland/,Victoria Nuland,Other: Senior Government Officials,Poland,Visit,P,25
Secretary Blinken’s Meeting with Slovak Foreign Minister Káčer,11/29/2022,https://www.state.gov/secretary-blinkens-meeting-with-slovak-foreign-minister-kacer/,Antony Blinken,Rastislav Káčer,Romania,Visit,S,26
Secretary Blinken’s Meeting with NATO Secretary General Stoltenberg,11/29/2022,https://www.state.gov/secretary-blinkens-meeting-with-nato-secretary-general-stoltenberg-6/,Antony Blinken,Stoltenberg,Romania,Visit,S,27
Secretary Blinken’s Meeting with Romanian President Iohannis,11/29/2022,https://www.state.gov/secretary-blinkens-meeting-with-romanian-president-iohannis/,Antony Blinken,"Klaus Iohannis, Nicolae Ciucă",Romania,Visit,S,28
Deputy Secretary Sherman’s Meeting with Liechtenstein Foreign Minister Hasler,11/16/2022,https://www.state.gov/deputy-secretary-shermans-meeting-with-liechtenstein-foreign-minister-hasler/,Wendy Sherman,Dominique Hasler,Liechtenstein,Meeting,D,29
Secretary Blinken’s Call with Polish Foreign Minister Rau,11/15/2022,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-10/,Antony Blinken,Zbigniew Rau,Poland,Call,S,30
Deputy Secretary Sherman’s Meeting with Austrian Secretary General for Foreign Affairs Launsky-Tieffenthal,11/1/2022,https://www.state.gov/deputy-secretary-shermans-meeting-with-austrian-secretary-general-for-foreign-affairs-launsky-tieffenthal/,Wendy Sherman,Peter Launsky-Tieffenthal,Austria,Meeting,D,31
"Under Secretary Zeya Travels to Qatar, Switzerland, and Poland",9/30/2022,https://www.state.gov/under-secretary-zeya-travels-to-qatar-switzerland-and-poland/,Uzra Zeya,Other: Senior Government Officials,Poland,Visit,J,32
Under Secretary Fernandez’s Travel to Romania,9/26/2022,https://www.state.gov/under-secretary-fernandezs-travel-to-romania/,Jose Fernandez,Other: Senior Government Officials,Romania,Visit,E,33
Deputy Secretary Sherman’s Participation in   Second U.S.-Switzerland Strategic Partnership Dialogue,9/16/2022,https://www.state.gov/deputy-secretary-shermans-participation-in-second-u-s-switzerland-strategic-partnership-dialogue/,Wendy Sherman,Livia Leu,Switzerland,Meeting,D,34
Secretary Blinken’s Call with Polish Foreign Minister Rau,9/7/2022,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-9/,Antony Blinken,Zbigniew Rau,Poland,Call,S,35
Under Secretary Fernandez’s Meeting with Romanian Minister of Energy Popescu,7/27/2022,https://www.state.gov/under-secretary-fernandezs-meeting-with-romanian-minister-of-energy-popescu/,Jose Fernandez,Virgil Popescu,Romania,Meeting,E,36
Assistant Secretary Donfried’s Travel to the Republic of Bulgaria,5/17/2022,https://www.state.gov/assistant-secretary-donfrieds-travel-to-the-republic-of-bulgaria/,Karen Donfried,Other: Senior Government Officials,Bulgaria,Visit,A/S EUR,37
Secretary Blinken’s Virtual Meeting with Bulgarian Prime Minister Petkov,5/10/2022,https://www.state.gov/secretary-blinkens-virtual-meeting-with-bulgarian-prime-minister-petkov/,Antony Blinken,Kiril Petkov,Bulgaria,Call,S,38
Secretary Blinken’s Call with Swiss President Cassis,5/3/2022,https://www.state.gov/secretary-blinkens-call-with-swiss-president-cassis/,Antony Blinken,Ignazio Cassis,Switzerland,Call,S,39
Secretary Blinken’s Meeting with Czech Republic Foreign Minister Lipavsky,4/26/2022,https://www.state.gov/secretary-blinkens-meeting-with-czech-republic-foreign-minister-lipavsky/,Antony Blinken,Jan Lipavský,Czech-Republic,Meeting,S,40
Secretary Blinken’s Call with Slovenian Prime Minister Janša,4/21/2022,https://www.state.gov/secretary-blinkens-call-with-slovenian-prime-minister-jansa/,Antony Blinken,Janez Janša,Slovenia,Call,S,41
Secretary Blinken’s Call with Romanian Foreign Minister Aurescu,4/18/2022,https://www.state.gov/secretary-blinkens-call-with-romanian-foreign-minister-aurescu-2/,Antony Blinken,Bogdan Aurescu,Romania,Call,S,42
"Assistant Secretary Donfried’s Travel to Denmark, Czech Republic, and Slovakia",3/25/2022,https://www.state.gov/assistant-secretary-donfrieds-travel-to-denmark-czech-republic-and-slovakia/,Karen Donfried,Other: Senior Government Officials,Czech-Republic,Visit,A/S EUR,43
"Assistant Secretary Donfried’s Travel to Denmark, Czech Republic, and Slovakia",3/25/2022,https://www.state.gov/assistant-secretary-donfrieds-travel-to-denmark-czech-republic-and-slovakia/,Karen Donfried,Other: Senior Government Officials,Slovakia,Visit,A/S EUR,44
Secretary Blinken’s Call with Polish Foreign Minister Rau,3/22/2022,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-7/,Antony Blinken,Zbigniew Rau,Poland,Call,S,45
Secretary Blinken’s Call with Polish Foreign Minister Rau,3/10/2022,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-6/,Antony Blinken,Zbigniew Rau,Poland,Call,S,46
Secretary Blinken’s Call with Czech Foreign Minister Lipavsky,3/9/2022,https://www.state.gov/secretary-blinkens-call-with-czech-foreign-minister-lipavsky-2/,Antony Blinken,Jan Lipavský,Czech-Republic,Call,S,47
Deputy Secretary Sherman’s Call with Austrian Secretary General of Foreign Affairs Launsky-Tieffenthal,3/3/2022,https://www.state.gov/deputy-secretary-shermans-call-with-austrian-secretary-general-of-foreign-affairs-launsky-tieffenthal/,Wendy Sherman,Peter Launsky-Tieffenthal,Austria,Call,D,48
Secretary Blinken’s Call with Slovak Foreign Minister Korcok,3/3/2022,https://www.state.gov/secretary-blinkens-call-with-slovak-foreign-minister-korcok/,Antony Blinken,Ivan Korcok,Slovakia,Call,S,49
Secretary Blinken’s Call with Polish Foreign Minister and OSCE Chairman-in-Office Zbigniew Rau,2/24/2022,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-and-osce-chairman-in-office-zbigniew-rau/,Antony Blinken,Zbigniew Rau,Poland,Call,S,50
Deputy Secretary Sherman’s Call with Liechtenstein Foreign Minister Hasler,2/23/2022,https://www.state.gov/deputy-secretary-shermans-call-with-liechtenstein-foreign-minister-hasler/,Wendy Sherman,Dominique Hasler,Liechtenstein,Call,D,51
Secretary Blinken’s Call with Polish Foreign Minister Rau,2/17/2022,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-5/,Antony Blinken,Zbigniew Rau,Poland,Call,S,52
Counselor Chollet and Under Secretary Fernandez Meet with Bulgarian Energy Delegation,2/15/2022,https://www.state.gov/counselor-chollet-and-under-secretary-fernandez-meet-with-bulgarian-energy-delegation/,Jose Fernandez,"Assen Vassilev, Alexander Nikolov",Bulgaria,Meeting,E,53
Secretary Blinken’s Meeting with Polish Foreign Minister Rau,2/4/2022,https://www.state.gov/secretary-blinkens-meeting-with-polish-foreign-minister-rau/,Antony Blinken,Zbigniew Rau,Poland,Meeting,S,54
Deputy Secretary Sherman’s Call with Bulgarian Prime Minister Petkov,1/31/2022,https://www.state.gov/deputy-secretary-shermans-call-with-bulgarian-prime-minister-petkov/,Wendy Sherman,Kiril Petkov,Bulgaria,Call,D,55
Deputy Secretary Sherman’s Call with Romanian Foreign Minister Aurescu,1/31/2022,https://www.state.gov/deputy-secretary-shermans-call-with-romanian-foreign-minister-aurescu/,Wendy Sherman,Bogdan Aurescu,Romania,Call,D,56
Deputy Secretary Sherman’s Call with Swiss State Secretary Leu,1/25/2022,https://www.state.gov/deputy-secretary-shermans-call-with-swiss-state-secretary-leu/,Wendy Sherman,Livia Leu,Switzerland,Call,D,57
Secretary Blinken’s Meeting with Swiss President and Foreign Minister Cassis,1/21/2022,https://www.state.gov/secretary-blinkens-meeting-with-swiss-president-and-foreign-minister-cassis/,Antony Blinken,Ignazio Cassis,Switzerland,Visit,S,58
Secretary Blinken’s Call with Polish Foreign Minister Rau,1/17/2022,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-4/,Antony Blinken,Zbigniew Rau,Poland,Call,S,59
Secretary Blinken’s Call with Czech Foreign Minister Lipavsky,1/13/2022,https://www.state.gov/secretary-blinkens-call-with-czech-foreign-minister-lipavsky/,Antony Blinken,Jan Lipavský,Czech-Republic,Call,S,60
Secretary Blinken’s Telephone Call with Polish Foreign Minister Rau,12/28/2021,https://www.state.gov/secretary-blinkens-telephone-call-with-polish-foreign-minister-rau/,Antony Blinken,Zbigniew Rau,Poland,Call,S,61
Secretary Blinken’s Meeting with Slovenian Foreign Minister Logar,12/20/2021,https://www.state.gov/secretary-blinkens-meeting-with-slovenian-foreign-minister-logar/,Antony Blinken,Anže Logar,Slovenia,Meeting,S,62
Secretary Blinken’s Call with Bulgarian Prime Minister Petkov,12/17/2021,https://www.state.gov/secretary-blinkens-call-with-bulgarian-prime-minister-petkov/,Antony Blinken,Kiril Petkov,Bulgaria,Call,S,63
Secretary Blinken’s Call with Austrian Foreign Minister Linhart,11/29/2021,https://www.state.gov/secretary-blinkens-call-with-austrian-foreign-minister-linhart/,Antony Blinken,Linhart,Austria,Call,S,64
Secretary Blinken’s Call with Polish Foreign Minister Rau,11/14/2021,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-3/,Antony Blinken,Zbigniew Rau,Poland,Call,S,65
Secretary Blinken’s Meeting with Romanian Foreign Minister Aurescu,11/8/2021,https://www.state.gov/secretary-blinkens-meeting-with-romanian-foreign-minister-aurescu/,Antony Blinken,Bogdan Aurescu,Romania,Meeting,S,66
Deputy Secretary Sherman’s Participation in U.S.-Switzerland Strategic Partnership Dialogue,10/1/2021,https://www.state.gov/deputy-secretary-shermans-participation-in-u-s-switzerland-strategic-partnership-dialogue/,Wendy Sherman,"Livia Leu, Ignazio Cassis",Switzerland,Visit,D,67
Deputy Secretary Sherman’s Participation in Strategic Stability Dialogue with Russian Deputy Foreign Minister Sergey Ryabkov,7/28/2021,https://www.state.gov/deputy-secretary-shermans-participation-in-strategic-stability-dialogue-with-russian-deputy-foreign-minister-sergey-ryabkov/,Wendy Sherman,Sergey Ryabkov,Switzerland,Visit,D,68
Secretary Blinken’s Call with Polish Foreign Minister Rau,6/18/2021,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau-2/,Antony Blinken,Zbigniew Rau,Poland,Call,S,69
Secretary Blinken’s Call with Bulgarian President Radev,6/11/2021,https://www.state.gov/secretary-blinkens-call-with-bulgarian-president-radev/,Antony Blinken,Rumen Radev,Bulgaria,Call,S,70
Secretary Blinken’s Call with Czech Prime Minister Babiš,5/2/2021,https://www.state.gov/secretary-blinkens-call-with-czech-prime-minister-babis-2/,Antony Blinken,Andrej Babiš ,Czech-Republic,Call,S,71
Secretary Blinken’s Call with Austrian Foreign Minister Schallenberg,4/20/2021,https://www.state.gov/secretary-blinkens-call-with-austrian-foreign-minister-schallenberg/,Antony Blinken,Alexander Schallenberg,Austria,Call,S,72
"Secretary Blinken’s Meeting with Czech Foreign Minister Petříček, Hungarian Foreign Minister Szijjártó, Polish Foreign Minister Rau, and Slovak Foreign Minister Korčok",3/23/2021,https://www.state.gov/secretary-blinkens-meeting-with-czech-foreign-minister-petricek-hungarian-foreign-minister-szijjarto-polish-foreign-minister-rau-and-slovak-foreign-minister-korcok/,Antony Blinken,Péter Szijjártó,Hungary,Visit,S,73
"Secretary Blinken’s Meeting with Czech Foreign Minister Petříček, Hungarian Foreign Minister Szijjártó, Polish Foreign Minister Rau, and Slovak Foreign Minister Korčok",3/23/2021,https://www.state.gov/secretary-blinkens-meeting-with-czech-foreign-minister-petricek-hungarian-foreign-minister-szijjarto-polish-foreign-minister-rau-and-slovak-foreign-minister-korcok/,Antony Blinken,Zbigniew Rau,Poland,Visit,S,74
"Secretary Blinken’s Meeting with Czech Foreign Minister Petříček, Hungarian Foreign Minister Szijjártó, Polish Foreign Minister Rau, and Slovak Foreign Minister Korčok",3/23/2021,https://www.state.gov/secretary-blinkens-meeting-with-czech-foreign-minister-petricek-hungarian-foreign-minister-szijjarto-polish-foreign-minister-rau-and-slovak-foreign-minister-korcok/,Antony Blinken,Ivan Korčok,Slovakia,Visit,S,75
Secretary Blinken’s Call with Czech Prime Minister Babiš,3/5/2021,https://www.state.gov/secretary-blinkens-call-with-czech-prime-minister-babis/,Antony Blinken,Andrej Babiš ,Czech-Republic,Call,S,76
Secretary Blinken’s Call with Polish Foreign Minister Rau,2/23/2021,https://www.state.gov/secretary-blinkens-call-with-polish-foreign-minister-rau/,Antony Blinken,Zbigniew Rau,Poland,Call,S,77
Secretary Blinken’s Call with Swiss President Parmelin,2/2/2021,https://www.state.gov/secretary-blinkens-call-with-swiss-president-parmelin/,Antony Blinken,Guy Parmelin,Switzerland,Call,S,78
President Biden’s Meeting with President Andrzej Duda and Prime Minister Mateusz Morawiecki of Poland,2/21/2023,https://www.whitehouse.gov/briefing-room/statements-releases/2023/02/21/readout-of-president-bidens-meeting-with-prime-minister-mateusz-morawiecki-of-poland/,Joe Biden,"Mateusz Morawiecki, Andrzej Duda",Poland,Visit,POTUS,79
President Biden’s Meeting with President Guy Parmelin and Foreign Minister Ignazio Cassis of Switzerland,6/15/2021,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/15/readout-of-president-bidens-meeting-with-president-guy-parmelin-and-foreign-minister-ignazio-cassis-of-switzerland/,Joe Biden,"Guy Parmelin, Ignazio Cassis",Switzerland,Visit,POTUS,80
Vice President Harris’s Meeting with Prime Minister Mateusz Morawiecki of Poland,4/11/2023,https://www.whitehouse.gov/briefing-room/statements-releases/2023/04/11/readout-of-vice-president-harriss-meeting-with-prime-minister-mateusz-morawiecki-of-poland/,Kamala Harris,Mateusz Morawiecki,Poland,Visit,VPOTUS,81
President Joe Biden’s Call with President Andrzej Duda of Poland,11/15/2022,https://www.whitehouse.gov/briefing-room/statements-releases/2022/11/15/readout-of-president-joe-bidens-call-with-president-andrzej-duda-of-poland/,Joe Biden,Andrzej Duda,Poland,Call,POTUS,82
Vice President Harris’s Call with Prime Minister Morawiecki of Poland,9/4/2022,https://www.whitehouse.gov/briefing-room/statements-releases/2022/09/04/readout-of-vice-president-harriss-call-with-prime-minister-morawiecki-of-poland/,Kamala Harris,Mateusz Morawiecki,Poland,Call,VPOTUS,83
President Biden’s Call with President Andrzej Duda of Poland,6/8/2022,https://www.whitehouse.gov/briefing-room/statements-releases/2022/06/08/readout-of-president-bidens-call-with-president-andrzej-duda-of-poland-2/,Joe Biden,Andrzej Duda,Poland,Call,POTUS,84
Vice President Harris’s Meeting with Prime Minister Kiril Petkov of Bulgaria,5/10/2022,https://www.whitehouse.gov/briefing-room/statements-releases/2022/05/10/readout-of-vice-president-harriss-meeting-with-prime-minister-kiril-petkov-of-bulgaria/,Kamala Harris,Kiril Petkov,Bulgaria,Visit,VPOTUS,85
President Biden’s Meeting with President Andrzej Duda of Poland,3/26/2022,https://www.whitehouse.gov/briefing-room/statements-releases/2022/03/26/readout-of-president-bidens-meeting-with-president-andrzej-duda-of-poland-2/,Joe Biden,Andrzej Duda,Poland,Visit,POTUS,86
Vice President Harris’s Call with President Caputova of Slovakia,3/16/2022,https://www.whitehouse.gov/briefing-room/statements-releases/2022/03/16/readout-of-vice-president-harriss-call-with-president-caputova-of-slovakia/,Kamala Harris,Zuzana Čaputová,Slovakia,Call,VPOTUS,87
President Biden’s Call With President Andrzej Duda of Poland,3/4/2022,https://www.whitehouse.gov/briefing-room/statements-releases/2022/03/04/readout-of-president-bidens-call-with-president-andrzej-duda-of-poland/,Joe Biden,Andrzej Duda,Poland,Call,POTUS,88
President Biden’s Meeting with President Andrzej Duda of Poland,6/14/2021,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/14/readout-of-president-bidens-meeting-with-president-andrzej-duda-of-poland/,Joe Biden,Andrzej Duda,Poland,Visit,POTUS,89
